mls_number,price,address,above_grade_bedrooms,below_grade_bedrooms,bathrooms,community_name,land_size,annual_prop_tax,postal_code,lat,long
W5932757,"$1,875,000","22 ALGOMA ST
Toronto, Ontario M8Y1C3","Above Grade
3",,"Total
4","Community Name
Mimico","Land Size
25 x 125.5 FT","Annual Property Taxes
$6,862.79",M8Y 1C3,43.6325,-79.4939
W5932641,"$999,000","85 ROCKWELL AVE
Toronto, Ontario M6N1N9","Above Grade
3",,"Total
2","Community Name
Weston-Pellam Park","Land Size
19.58 x 119 FT","Annual Property Taxes
$3,001.68",M6N 1N9,43.6748,-79.4839
W5932589,"$1,100,000","50 VANGUARD DR
Toronto, Ontario M9B5E6","Above Grade
3","Below Grade
1","Total
2","Community Name
Islington-City Centre West","Land Size
30.04 x 122.67 FT","Annual Property Taxes
$3,785.28",M9B 5E6,43.6505,-79.5517
W5932473,"$1,099,900","50 EVERSFIELD RD
Toronto, Ontario M6E1T7","Above Grade
3",,"Total
4","Community Name
Caledonia-Fairbank","Land Size
25 x 75 FT","Annual Property Taxes
$4,417.21",M6E 1T7,43.6889,-79.4507
E5932527,"$849,000","198 WOODVILLE AVE
Toronto, Ontario M4J2R6","Above Grade
3",,"Total
2","Community Name
East York","Land Size
19.46 x 97.1 FT ; Rear Driveway Extends To Wolverton Ave.","Annual Property Taxes
$4,400",M4J 2R6,43.6872,-79.3368
E5932551,"$829,000","219 DONLANDS AVE
Toronto, Ontario M4J3P9","Above Grade
2",,"Total
2","Community Name
Danforth Village-East York","Land Size
19.67 x 90 FT","Annual Property Taxes
$3,677.85",M4J 3P9,43.6872,-79.3368
E5932411,"$899,900","33 THORNBECK DR
Toronto, Ontario M1G2J7","Above Grade
3","Below Grade
1","Total
2","Community Name
Woburn","Land Size
60 x 123.5 FT ; Pie Shaped Lot Widens To 80 Ft At Back","Annual Property Taxes
$3,532.50",M1G 2J7,43.7712,-79.2144
E5925591,"$2,088,888","66 NORTHRIDGE AVE
Toronto, Ontario M4J4P3","Above Grade
4",,"Total
4","Community Name
East York","Land Size
32.03 x 110.12 FT","Annual Property Taxes
$7,412.57",M4J 4P3,43.6872,-79.3368
C5932767,"$999,999","37 PONDSVIEW DR
Toronto, Ontario M2J4B3","Above Grade
3","Below Grade
1","Total
2","Community Name
Pleasant View","Land Size
42.91 x 116.36 FT ; Pie Shaped Lot","Annual Property Taxes
$5,617.88",M2J 4B3,43.7801,-79.3479
C5932709,"$999,000","50 SHERWOOD AVE
Toronto, Ontario M4P2A7","Above Grade
3",,"Total
2","Community Name
Mount Pleasant West","Land Size
18.33 x 185 FT","Annual Property Taxes
$5,649.48",M4P 2A7,43.7135,-79.3887
C5932559,"$2,498,800","303 ERSKINE AVE
Toronto, Ontario M4P1Z6","Above Grade
3","Below Grade
1","Total
4","Community Name
Mount Pleasant East","Land Size
20.8 x 171.67 FT","Annual Property Taxes
$7,298.83",M4P 1Z6,43.7135,-79.3887
C5932565,"$1,549,000","551 DAVISVILLE AVE
Toronto, Ontario M4S1J2","Above Grade
3",,"Total
2","Community Name
Mount Pleasant East","Land Size
25 x 148 FT","Annual Property Taxes
$7,279.87",M4S 1J2,43.702,-79.3853
C5932453,"$1,869,000","67 GLENVALE BLVD
Toronto, Ontario M4G2V5","Above Grade
3",,"Total
2","Community Name
Leaside","Land Size
33 x 125 FT ; Attach Survey","Annual Property Taxes
$7,690.62",M4G 2V5,43.7124,-79.3644
C5932467,"$2,398,000","157 CHAPLIN CRES
Toronto, Ontario M5P1B1","Above Grade
3",,"Total
2","Community Name
Yonge-Eglinton","Land Size
30 x 120 FT","Annual Property Taxes
$8,240.41",M5P 1B1,43.6966,-79.412
W5932355,"$899,000","47 TARRAGONA BLVD
Toronto, Ontario M6N5C2","Above Grade
2","Below Grade
1","Total
2","Community Name
Junction Area","Land Size
20 x 78.84 FT","Annual Property Taxes
$3,406.12",M6N 5C2,43.6748,-79.4839
W5932325,"$1,989,900","33 SHADWICK DR
Toronto, Ontario M9R2V6","Above Grade
4","Below Grade
1","Total
4","Community Name
Kingsview Village-The Westway","Land Size
58.25 x 120 FT","Annual Property Taxes
$7,880.22",M9R 2V6,43.6898,-79.5582
E5932293,"$949,800","82 OAKVALE AVE
Toronto, Ontario M4J1J1","Above Grade
3",,"Total
1","Community Name
Blake-Jones","Land Size
14.83 x 100 FT ; Laneway Access Blocked By Fence","Annual Property Taxes
$4,145.48",M4J 1J1,43.6872,-79.3368
C5932319,"$1,549,000","64 CORNING RD
Toronto, Ontario M2J2M1","Above Grade
4",,"Total
2","Community Name
Don Valley Village","Land Size
50 x 136.59 FT","Annual Property Taxes
$5,788.51",M2J 2M1,43.7801,-79.3479
C5932291,"$1,699,000","37 ROWLEY AVE
Toronto, Ontario M4P2T1","Above Grade
3","Below Grade
1","Total
2","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
34.62 x 100 FT","Annual Property Taxes
$7,210.35",M4P 2T1,43.7135,-79.3887
C5932315,"$6,950,000","154 YONGE BLVD
Toronto, Ontario M5M3H4","Above Grade
4","Below Grade
1","Total
7","Community Name
Bedford Park-Nortown","Land Size
50 x 162 FT ; Slightly Irregular","Annual Property Taxes
$22,003.91",M5M 3H4,43.7335,-79.4177
E5932219,"$3,195,000","43 LEUTY AVE
Toronto, Ontario M4E2R2","Above Grade
4","Below Grade
1","Total
4","Community Name
The Beaches","Land Size
21 x 98.25 FT","Annual Property Taxes
$5,602.99",M4E 2R2,43.6784,-79.2941
W5932089,"$1,198,000","74 THIRTY EIGHTH ST
Toronto, Ontario M8W3M3","Above Grade
3","Below Grade
1","Total
3","Community Name
Long Branch","Land Size
50 x 132 FT","Annual Property Taxes
$5,011.23",M8W 3M3,43.6021,-79.5402
C5931885,"$2,688,000","18A FLORENCE AVE
Toronto, Ontario M2N1E9","Above Grade
3","Below Grade
1","Total
5","Community Name
Lansing-Westgate","Land Size
25 x 130 FT","Annual Property Taxes
$0",M2N 1E9,43.7673,-79.4111
C5931773,"$5,650,000","214 ROSEMARY RD
Toronto, Ontario M5P3E1","Above Grade
4","Below Grade
2","Total
6","Community Name
Forest Hill South","Land Size
40 x 164.66 FT","Annual Property Taxes
$21,529.90",M5P 3E1,43.6966,-79.412
W5931667,"$1,650,000","51 BURNHAMTHORPE CRES
Toronto, Ontario M9A1G6","Above Grade
4",,"Total
1","Community Name
Islington-City Centre West","Land Size
45 x 247 FT","Annual Property Taxes
$6,016.01",M9A 1G6,43.6662,-79.5282
W5931633,"$999,999","20 PATIKA AVE
Toronto, Ontario M9N2E8","Above Grade
3","Below Grade
1","Total
2","Community Name
Weston","Land Size
40 x 96.5 FT","Annual Property Taxes
$3,185",M9N 2E8,43.7068,-79.517
E5931563,"$899,000","17 COMPTON DR
Toronto, Ontario M1R4A5","Above Grade
3","Below Grade
2","Total
2","Community Name
Wexford-Maryvale","Land Size
63 x 81.54 FT","Annual Property Taxes
$3,592.76",M1R 4A5,43.7507,-79.3003
W5931419,"$1,344,900","44 LEXFIELD AVE
Toronto, Ontario M3M1M5","Above Grade
3",,"Total
2","Community Name
Downsview-Roding-CFB","Land Size
50 x 154.06 FT","Annual Property Taxes
$3,970",M3M 1M5,43.7319,-79.4928
E5931497,"$1,086,000","5 MILLCAR DR
Toronto, Ontario M1B6J5","Above Grade
3","Below Grade
1","Total
4","Community Name
Rouge E11","Land Size
28.54 x 81.2 FT","Annual Property Taxes
$3,677.85",M1B 6J5,43.8113,-79.193
W5931315,"$869,000","61 TOFIELD CRES
Toronto, Ontario M9W2C1","Above Grade
2","Below Grade
1","Total
2","Community Name
Rexdale-Kipling","Land Size
45 x 114 FT","Annual Property Taxes
$2,938",M9W 2C1,43.7144,-79.5909
E5931241,"$1,099,900","126 CASS AVE
Toronto, Ontario M1T2B6","Above Grade
3","Below Grade
1","Total
2","Community Name
Tam O'Shanter-Sullivan","Land Size
50.08 x 126.98 FT ; Irreg. Lot","Annual Property Taxes
$4,145.48",M1T 2B6,43.7812,-79.3036
E5931243,"$1,299,998","17 PARKINGTON CRES
Toronto, Ontario M1H2T6","Above Grade
4","Below Grade
1","Total
3","Community Name
Woburn","Land Size
49.87 x 110 FT ; None","Annual Property Taxes
$3,886.39",M1H 2T6,43.7686,-79.2389
W5931193,"$799,900","2674 ISLINGTON AVE
Toronto, Ontario M9V2X5","Above Grade
2","Below Grade
1","Total
2","Community Name
Thistletown-Beaumonde Heights","Land Size
53 x 125 FT","Annual Property Taxes
$3,100",M9V 2X5,43.7432,-79.5876
W5931129,"$999,900","2560 LAKE SHORE BLVD W
Toronto, Ontario M8V1G1","Above Grade
3","Below Grade
2","Total
2","Community Name
Mimico","Land Size
52.82 x 86 FT ; 95.34 Ft X 50.07 Ft X 77.87 Ft X 52.82 F","Annual Property Taxes
$4,575.20",M8V 1G1,43.6075,-79.5013
W5931077,"$899,000","15 BURLINGTON ST
Toronto, Ontario M8V2L1","Above Grade
3",,"Total
1","Community Name
Mimico","Land Size
25 x 125 FT","Annual Property Taxes
$3,722",M8V 2L1,43.6075,-79.5013
E5931047,"$999,990","46 MIRAMAR CRES
Toronto, Ontario M1J1R4","Above Grade
3","Below Grade
3","Total
2","Community Name
Bendale","Land Size
41.61 x 126.22 FT","Annual Property Taxes
$3,576.70",M1J 1R4,43.7464,-79.2323
E5931159,"$999,000","53 FARMHILL CRT
Toronto, Ontario M1B2M1","Above Grade
3",,"Total
4","Community Name
Rouge E11","Land Size
45 x 101.74 FT","Annual Property Taxes
$3,665.21",M1B 2M1,43.8113,-79.193
W5931011,"$1,650,000","12 SHERIN CRT
Toronto, Ontario M9P2G8","Above Grade
3","Below Grade
1","Total
3","Community Name
Kingsview Village-The Westway","Land Size
32.67 x 149.5 FT ; Irregular Ravine Lot","Annual Property Taxes
$6,256.13",M9P 2G8,43.6949,-79.5323
W5930985,"$1,598,000","40 FLORAL PKWY
Toronto, Ontario M6L2B5","Above Grade
4","Below Grade
1","Total
5","Community Name
Maple Leaf","Land Size
36.52 x 187 FT","Annual Property Taxes
$3,753.68",M6L 2B5,43.7137,-79.4869
40379964,"$899,000","15 BURLINGTON Street
Etobicoke, Ontario M8V2L1","Above Grade
3",,"Total
1",,"Land Size
under 1/2 acre",,M8V 2L1,43.6075,-79.5013
W5930861,"$1,399,900","488A MCROBERTS AVE
Toronto, Ontario M6E4R4","Above Grade
4",,"Total
4","Community Name
Caledonia-Fairbank","Land Size
18.04 x 142.18 FT","Annual Property Taxes
$0",M6E 4R4,43.6889,-79.4507
C5930845,"$1,482,000","62 WILLESDEN RD
Toronto, Ontario M2H1V7","Above Grade
3","Below Grade
2","Total
4","Community Name
Hillcrest Village","Land Size
50 x 120 FT","Annual Property Taxes
$4,177.07",M2H 1V7,43.8015,-79.3577
W5930655,"$1,199,000","81 MILADY RD
Toronto, Ontario M9L2H9","Above Grade
3","Below Grade
3","Total
4","Community Name
Humber Summit","Land Size
31.7 x 126.79 FT","Annual Property Taxes
$2,430",M9L 2H9,43.7598,-79.5565
E5930493,"$1,188,888","16 DEERFIELD PL
Toronto, Ontario M1K4X4","Above Grade
3","Below Grade
1","Total
3","Community Name
Bendale","Land Size
43.4 x 134.75 FT ; Pie-Shaped- R-123.08', N-88.50'","Annual Property Taxes
$3,741",M1K 4X4,43.7298,-79.2639
C5930443,"$1,689,000","153 ARLINGTON AVE
Toronto, Ontario M6C2Z3","Above Grade
3",,"Total
3","Community Name
Humewood-Cedarvale","Land Size
20.36 x 136.87 FT","Annual Property Taxes
$5,036.50",M6C 2Z3,43.6915,-79.4307
C5930231,"$1,299,000","18 CADILLAC AVE
Toronto, Ontario M3H1R9","Above Grade
3","Below Grade
2","Total
4","Community Name
Clanton Park","Land Size
50 x 120 FT","Annual Property Taxes
$3,804.23",M3H 1R9,43.7535,-79.4472
E5930001,"$1,099,000","43 BAINHART CRES
Toronto, Ontario M1H2R4","Above Grade
3","Below Grade
1","Total
2","Community Name
Woburn","Land Size
40.11 x 108.66 FT","Annual Property Taxes
$3,671.89",M1H 2R4,43.7686,-79.2389
W5930169,"$1,199,900","8 WARDLAW CRES
Toronto, Ontario M9V1L2","Above Grade
4","Below Grade
2","Total
3","Community Name
Thistletown-Beaumonde Heights","Land Size
20.53 x 43.05 M ; Irrg As Per Survey, Attached 2012","Annual Property Taxes
$3,639.93",M9V 1L2,43.7432,-79.5876
W5929999,"$2,999,999","26 HILL GARDEN RD
Toronto, Ontario M9P1X9","Above Grade
4","Below Grade
2","Total
5","Community Name
Humber Heights","Land Size
60 x 118 FT","Annual Property Taxes
$4,303.46",M9P 1X9,43.6949,-79.5323
C5930013,"$2,488,000","66 ABITIBI AVE
Toronto, Ontario M2M2V4","Above Grade
4","Below Grade
1","Total
5","Community Name
Newtonbrook East","Land Size
40 x 122.5 FT","Annual Property Taxes
$10,148.85",M2M 2V4,43.7915,-79.4103
C5929855,"$2,998,000","204 RANLEIGH AVE
Toronto, Ontario M4N1X4","Above Grade
4","Below Grade
1","Total
5","Community Name
Lawrence Park North","Land Size
25.52 x 148.19 FT","Annual Property Taxes
$11,298.96",M4N 1X4,43.7301,-79.3935
E5929789,"$1,399,000","49 MANDERLEY DR
Toronto, Ontario M1N3E8","Above Grade
3","Below Grade
1","Total
3","Community Name
Birchcliffe-Cliffside","Land Size
32 x 100 FT","Annual Property Taxes
$4,499.36",M1N 3E8,43.6952,-79.2646
E5929823,"$999,888","492 HUNTINGWOOD DR
Toronto, Ontario M1W1G4","Above Grade
3",,"Total
3","Community Name
L'Amoreaux","Land Size
50 x 115 FT ; *See Schedule B - Full Legal Description","Annual Property Taxes
$4,998.59",M1W 1G4,43.8016,-79.3216
E5929843,"$2,249,000","374 BEECHGROVE DR
Toronto, Ontario M1E4A5","Above Grade
4","Below Grade
2","Total
5","Community Name
West Hill","Land Size
41.21 x 144.78 FT ; ***Rp66R23956 As Per Registered Deed","Annual Property Taxes
$6,123.43",M1E 4A5,43.7678,-79.1866
E5929643,"$1,349,900","581 MEADOWVALE RD
Toronto, Ontario M1C1S9","Above Grade
4",,"Total
3","Community Name
Highland Creek","Land Size
50 x 172.49 FT","Annual Property Taxes
$6,091",M1C 1S9,43.7878,-79.1564
E5929535,"$1,375,000","2086 PHARMACY AVE
Toronto, Ontario M1W1H8","Above Grade
4",,"Total
4","Community Name
L'Amoreaux","Land Size
66.07 x 180.04 FT ; 180.05 Ft X 66.07 Ft X 180.04 Ft X 66.07","Annual Property Taxes
$6,433",M1W 1H8,43.8016,-79.3216
C5929591,"$3,388,000","215 WILFRED AVE
Toronto, Ontario M2N5E2","Above Grade
4","Below Grade
1","Total
5","Community Name
Willowdale East","Land Size
39.75 x 200 FT ; Backyrd Oasis!! Pool,Fencd,Deckd,Gated!","Annual Property Taxes
$19,500",M2N 5E2,43.7673,-79.4111
C5929419,"$7,690,000","65 HILLHURST BLVD
Toronto, Ontario M5N1N5","Above Grade
4","Below Grade
1","Total
7","Community Name
Lawrence Park South","Land Size
50 x 133.75 FT","Annual Property Taxes
$21,915.43",M5N 1N5,43.7113,-79.4195
40377609,"$1,999,900","233 RHODES Avenue
Toronto, Ontario M4L3A2","Above Grade
4",,"Total
4",,"Land Size
under 1/2 acre",,M4L 3A2,43.6693,-79.3155
W5929293,"$999,999","20 MERCURY RD
Toronto, Ontario M9W3H5","Above Grade
3",,"Total
1","Community Name
Rexdale-Kipling","Land Size
45 x 122 FT ; Rectangular","Annual Property Taxes
$3,241.82",M9W 3H5,43.7144,-79.5909
W5929133,"$949,900","34 EDMUND AVE
Toronto, Ontario M9N1A4","Above Grade
4",,"Total
2","Community Name
Weston","Land Size
43.42 x 112 FT","Annual Property Taxes
$3,158.94",M9N 1A4,43.7068,-79.517
E5929337,"$1,168,000","47 FRANK RIVERS DR
Toronto, Ontario M1W3R9","Above Grade
3","Below Grade
2","Total
5","Community Name
Steeles","Land Size
25.43 x 111.97 FT","Annual Property Taxes
$3,849",M1W 3R9,43.8016,-79.3216
E5929131,"$899,000","748 PHARMACY AVE
Toronto, Ontario M1L3J9","Above Grade
3","Below Grade
1","Total
2","Community Name
Clairlea-Birchmount","Land Size
45 x 130 FT","Annual Property Taxes
$3,458.34",M1L 3J9,43.7122,-79.2843
C5929289,"$10,700,000",Address not available,"Above Grade
7","Below Grade
1","Total
10","Community Name
Bridle Path-Sunnybrook-York Mills","Land Size
137.66 x 117.45 FT ; Pie-Shpd:171.45' Bck Widen/Park-Like:Sur","Annual Property Taxes
$31,536.90",ila ble,,
C5929175,"$2,998,000","369 HILLCREST AVE
Toronto, Ontario M2N3P9","Above Grade
5",,"Total
4","Community Name
Willowdale East","Land Size
50 x 131.21 FT ; South-Close To Subway/B.V Village Mall","Annual Property Taxes
$12,588.11",M2N 3P9,43.7673,-79.4111
C5929135,"$2,953,000","115 HARRISON ST
Toronto, Ontario M6J2A2","Above Grade
3","Below Grade
1","Total
4","Community Name
Trinity-Bellwoods","Land Size
16.58 x 137 FT","Annual Property Taxes
$0",M6J 2A2,43.648,-79.4177
